date,product,quantity_sold
1/4/2024,Tea Spoon - Super Pack,4875
8/20/2024,Baby Dry Large (9-14 kg) - 60 Diapers,3721
11/8/2024,Naturedrop - Herbal Liquid Dish Wash,4319
3/25/2024,Agarbathi - Natural Incense Sticks (Jasmine),8010
4/24/2024,"Decorative Wax Candles Scented - Red, Bb-1258-2 Rose",9729
2/13/2024,Cafe Chic - South Indian Chicory blend,6930
3/12/2024,Kid's 2+ Years Extra Soft Toothbrush,5099
9/11/2024,Oreo - Dipped Cookie,9020
2/2/2024,New Xtra Small - 86 Diaper Pants,7964
7/31/2024,Cold Pressed Virgin Coconut Oil For Hair & Skin Moisturisation,6170
4/22/2024,Darjeeling Black Tea Bags,3574
7/16/2024,Pet Ear Cleaner,6561
4/13/2024,Pina Colada Iced Tea With Coconut & Pineapple,7504
11/27/2024,Salted Pistachios,7956
5/17/2024,Chocolate - White,3651
7/25/2024,Dried Blueberries,2795
6/8/2024,Whole Wheat Khakhra - Jeera,8013
8/22/2024,Rosemary Hummus,5801
6/24/2024,Organic Peanut Butter Crunch - Unsweetened/Gluten Free/ Non-GMO/Vegan,8281
2/16/2024,"3mm Hard Aluminium Anodized Sauce Pan - With Induction Base, 12 cm, Black",4833
6/28/2024,Imunoherb - Immunity Booster Capsules,8709
6/29/2024,"Ball Pen - Fyro, Blue",9239
7/10/2024,Microwave Diet Popcorn - 93% Fat Free,3237
4/17/2024,Deco Mini Base B22 0.5-Watt LED Bulb - Red,4899
11/5/2024,Sauce - Spring Roll,3430
8/22/2024,Lavender Oil,5785
8/15/2024,Panty Liners - Intima Normal,6780
2/2/2024,Gadget Cleaner Spray Sparkling Shine + Glass and Household Cleaner (each 500 ml),8943
7/28/2024,Spices - Whole White Pepper,8949
6/3/2024,Gold Facial Kit - 6 Steps,659
2/22/2024,To Be Rebel Ww Eau De Toilette,4400
11/5/2024,Fish Fingers,8260
9/19/2024,Basmati Rice/Basmati Akki - Premium,5406
6/28/2024,Choco - Pie,7967
10/23/2024,"Plastic Kitchen Rack/Kitchen Stand - 2 Tier, Big, Assorted Colour",1815
2/16/2024,"Face Wash - Whitening, Peel",8522
4/22/2024,Fluid Intense Eau De Toilette For Men,3674
5/9/2024,Almond Hair Oil,1748
4/10/2024,Flavoured Milk - Pista,4994
8/24/2024,Black Board Duster - Non Magnetic,2268
10/26/2024,Calcutta Mitha Pan,4268
6/2/2024,Spanish Queen Olives - Stuffed With Minced Pimiento,566
12/6/2024,Organic Puttu - Pearl Millet,1257
7/31/2024,"Coffee - Powder, Pure Filter, Nova Therm",7360
10/18/2024,"Organic Red Gram/Tur Dal - Split, Skinned",3826
5/9/2024,Classic Green Organic Tea,7607
8/10/2024,Oats - Rolled 200 g + Oats - Steel Cut 200 g,7955
4/16/2024,Kitchen/Hand Towel - Checked Print,1304
1/16/2024,Selfie Concentrated Woody Perfume Free From Alcohol For Male,8449
9/15/2024,Steel Atta/Maida/Dough Parat Plate - No. 15,7454
8/21/2024,Mango Seed Moisturising Eye Cream,1966
10/1/2024,Breakfast Protein Variety Bar - Almond Coconut,5761
11/14/2024,Sun Protect Non-Oily Sunscreen SPF 50,4674
9/21/2024,Printed Paper Party Cups,914
8/24/2024,Mango Seed Moisturising Eye Cream,157
7/2/2024,Aeda Glycerine Bathing Bar - Natural Green,430
6/1/2024,Papad - Special Udad Plain No. 2,4003
7/30/2024,Kitchen Multiutility Plastic Tray No. 1 - Pink,8724
8/5/2024,Woman - Green Body Mist,5020
11/13/2024,Non-Scratch Scrub Sponge - Maxi,4016
7/12/2024,Amalfi Bleu By Skinn For Men,6683
7/27/2024,Leaf Tea Infuser Stainless Steel Strainer Filter With Drip Tray,4555
3/17/2024,Potato Chips - Cheddar Cheese,7735
11/14/2024,Pineapple - Slices,2215
5/31/2024,Noodles - Chicken,7086
3/26/2024,"Blue Printed Pencil Pouch - Fabric & PU, BB1255DB",508
7/5/2024,Royal Kitty Mukhwas,2808
1/17/2024,Nylon Rope,2826
6/10/2024,"Pumpkin - Disco, Organically Grown",7054
12/3/2024,Amla Herbal Infusion,3888
2/11/2024,Santerno 3 Tier Steel Cloth Dryer Stand,9602
11/9/2024,Charcoal Peel-Off Mask,3920
5/14/2024,All Time Plastic Soup Strainer - Assorted Colour,8683
4/18/2024,"Korea - Cucumber, Fairness Facial Mask",8451
12/9/2024,Superfood Millet - Bengali Bhog Khichdi,3651
6/9/2024,"Toothbrush - 360 Degree Flosstip, Medium Bristles",5808
3/3/2024,Great Grains Cereal - Banana Nut Crunch,6810
11/30/2024,Cheddar Applewood Smoked Cheese - Sliced,6977
8/20/2024,Buttery Spread - Garlic & Herbs,8780
9/18/2024,LEau Intense Deodorant Spray,6749
1/16/2024,"Floating Candles - BB1256, White",9506
7/1/2024,Activated Charcoal Hair Shampoo + Activated Charcoal Hair Conditioner,1915
1/3/2024,Incense Sticks - Golden,8041
1/27/2024,Poha - Onion,503
9/6/2024,Clove Pure Essential Oil,5670
9/23/2024,Creme Soft Soap - For Hands & Body,654
7/18/2024,Casual Eau De Toilette Deodorant - For Man,5333
12/6/2024,"Face Mask With Anti Viral Coating - 2 Ply, Cotton, Large",1229
9/11/2024,Organic Salted Butter,699
3/23/2024,Party Wafers - Cocoa Cream,2316
7/30/2024,Rapid Wrinkle Repair Night Cream,8683
12/8/2024,Camphor,7399
9/29/2024,Filta Fresh Chicory Blend Coffee,9377
10/24/2024,Almond/Badam - Roasted & Salted,3310
5/9/2024,"Steel Rice Serving Spoon - Medium, Classic Diana Series, BBST37",4969
8/19/2024,Multi Grain Coffee Cake Mix - Wheat & Maida Free,4969
10/17/2024,Red Chilli Flakes,7883
3/25/2024,Pina Colada Iced Tea With Coconut & Pineapple,5193
7/31/2024,"Loofah - I-Got-Your-Back, Bath Essentials",3054
10/25/2024,Marvel Spiderman Metal Kids Pencil Box,2146
10/5/2024,Feel the Massage Shower Gel,5893
10/23/2024,Silver Sparks Scrub Pad,3123
12/20/2024,Hair Color - Dark Brown N30,2552
