brand,address,description,founding_year,num_of_products
Sri Sri Ayurveda ,Address for Sri Sri Ayurveda ,Description for Sri Sri Ayurveda ,1961,14
Mastercook,Address for Mastercook,Description for Mastercook,1945,34
Trm,Address for Trm,Description for Trm,2010,2
Nakoda,Address for Nakoda,Description for Nakoda,1956,41
Nivea,Address for Nivea,Description for Nivea,1971,41
Nature Protect,Address for Nature Protect,Description for Nature Protect,2017,3
Satinance,Address for Satinance,Description for Satinance,1903,27
Bionova,Address for Bionova,Description for Bionova,2005,65
StBotanica,Address for StBotanica,Description for StBotanica,1983,51
Scotch brite,Address for Scotch brite,Description for Scotch brite,1985,88
NUTRASHIL,Address for NUTRASHIL,Description for NUTRASHIL,1926,70
Sapphire,Address for Sapphire,Description for Sapphire,1925,31
Oxy,Address for Oxy,Description for Oxy,1923,46
Clorox,Address for Clorox,Description for Clorox,1943,39
Herbal Strategi,Address for Herbal Strategi,Description for Herbal Strategi,1968,47
Aroma Treasures,Address for Aroma Treasures,Description for Aroma Treasures,1943,6
Graminway,Address for Graminway,Description for Graminway,2020,13
True Elements,Address for True Elements,Description for True Elements,2013,2
Murginns,Address for Murginns,Description for Murginns,1964,71
Bronson Professional,Address for Bronson Professional,Description for Bronson Professional,1925,64
Koka,Address for Koka,Description for Koka,2000,79
NaturoBell,Address for NaturoBell,Description for NaturoBell,1971,75
Cambridge Tea Party,Address for Cambridge Tea Party,Description for Cambridge Tea Party,1961,14
IRICH,Address for IRICH,Description for IRICH,1973,6
Cello,Address for Cello,Description for Cello,1993,95
Fit & Flex,Address for Fit & Flex,Description for Fit & Flex,1979,58
Safe Harvest,Address for Safe Harvest,Description for Safe Harvest,1936,95
Switz,Address for Switz,Description for Switz,1900,14
Organic Harvest,Address for Organic Harvest,Description for Organic Harvest,1945,63
Real,Address for Real,Description for Real,1987,19
Cadbury,Address for Cadbury,Description for Cadbury,1962,43
Old Spice,Address for Old Spice,Description for Old Spice,1951,75
Octavius,Address for Octavius,Description for Octavius,1979,26
Steelo,Address for Steelo,Description for Steelo,1995,23
bb Royal,Address for bb Royal,Description for bb Royal,1996,57
Catch,Address for Catch,Description for Catch,1915,3
Engage,Address for Engage,Description for Engage,1977,13
Fabelle,Address for Fabelle,Description for Fabelle,1937,60
Colour Me,Address for Colour Me,Description for Colour Me,1993,78
Liril,Address for Liril,Description for Liril,1961,93
Twister,Address for Twister,Description for Twister,1906,35
Classic Essentials,Address for Classic Essentials,Description for Classic Essentials,1958,64
Figaro,Address for Figaro,Description for Figaro,2020,32
Organic Tattva,Address for Organic Tattva,Description for Organic Tattva,2018,24
Gillette,Address for Gillette,Description for Gillette,1938,76
Dylon ,Address for Dylon ,Description for Dylon ,1923,26
Pantai,Address for Pantai,Description for Pantai,1967,83
Spice Story,Address for Spice Story,Description for Spice Story,1952,84
Mother's Recipe,Address for Mother's Recipe,Description for Mother's Recipe,1952,94
Pekers,Address for Pekers,Description for Pekers,1971,64
Red Hunt,Address for Red Hunt,Description for Red Hunt,1925,14
Daucy,Address for Daucy,Description for Daucy,1994,2
Shareat,Address for Shareat,Description for Shareat,1997,32
Quick Dry,Address for Quick Dry,Description for Quick Dry,1914,37
Kvg,Address for Kvg,Description for Kvg,1930,1
Drools,Address for Drools,Description for Drools,2020,37
Happilo,Address for Happilo,Description for Happilo,1950,52
Bisk Farm,Address for Bisk Farm,Description for Bisk Farm,2015,69
Azafran,Address for Azafran,Description for Azafran,1907,73
Colgate,Address for Colgate,Description for Colgate,1901,61
Pears,Address for Pears,Description for Pears,2004,5
INATUR ,Address for INATUR ,Description for INATUR ,1946,97
Mantra,Address for Mantra,Description for Mantra,1999,98
Natures Essence,Address for Natures Essence,Description for Natures Essence,2018,62
Bamboooz,Address for Bamboooz,Description for Bamboooz,1935,5
Dettol,Address for Dettol,Description for Dettol,1921,35
Sanjay ,Address for Sanjay ,Description for Sanjay ,1949,17
Pro Nature,Address for Pro Nature,Description for Pro Nature,2018,85
Shalimar,Address for Shalimar,Description for Shalimar,2007,23
Godrej No.1,Address for Godrej No.1,Description for Godrej No.1,1964,10
Hawkins Futura,Address for Hawkins Futura,Description for Hawkins Futura,1974,34
Gowardhan,Address for Gowardhan,Description for Gowardhan,1997,2
Townbus,Address for Townbus,Description for Townbus,1967,0
Ramson,Address for Ramson,Description for Ramson,1921,73
Brut,Address for Brut,Description for Brut,1979,1
Godrej Protekt,Address for Godrej Protekt,Description for Godrej Protekt,1955,60
Huggies,Address for Huggies,Description for Huggies,1935,47
Garnier,Address for Garnier,Description for Garnier,1977,13
Fuschia,Address for Fuschia,Description for Fuschia,1997,4
Sunfeast,Address for Sunfeast,Description for Sunfeast,1985,53
Fendo,Address for Fendo,Description for Fendo,2008,67
Jovees,Address for Jovees,Description for Jovees,1945,5
Omega,Address for Omega,Description for Omega,1931,95
Slurrp Farm,Address for Slurrp Farm,Description for Slurrp Farm,1920,42
Ambica,Address for Ambica,Description for Ambica,1999,72
Elovera,Address for Elovera,Description for Elovera,1949,59
Soulflower,Address for Soulflower,Description for Soulflower,1931,7
Wagh Bakri,Address for Wagh Bakri,Description for Wagh Bakri,1924,63
Nutribee,Address for Nutribee,Description for Nutribee,1967,61
Vinod,Address for Vinod,Description for Vinod,1952,88
Aer,Address for Aer,Description for Aer,1911,84
Hm International,Address for Hm International,Description for Hm International,1955,65
Dhara ,Address for Dhara ,Description for Dhara ,1920,44
ACT II,Address for ACT II,Description for ACT II,1984,65
Amul,Address for Amul,Description for Amul,1908,75
Del Monte,Address for Del Monte,Description for Del Monte,1980,78
Yera,Address for Yera,Description for Yera,1938,27
Aaha Oho,Address for Aaha Oho,Description for Aaha Oho,1992,68
Akshayakalpa,Address for Akshayakalpa,Description for Akshayakalpa,1993,89
Lion,Address for Lion,Description for Lion,1959,64
Priya,Address for Priya,Description for Priya,1977,94
Aashirvaad,Address for Aashirvaad,Description for Aashirvaad,2020,12
Health 1st,Address for Health 1st,Description for Health 1st,2015,48
Lyra,Address for Lyra,Description for Lyra,1995,70
Dentoshine  ,Address for Dentoshine  ,Description for Dentoshine  ,1986,1
Gillette Venus,Address for Gillette Venus,Description for Gillette Venus,2016,35
BORGES,Address for BORGES,Description for BORGES,1978,7
Aloederm,Address for Aloederm,Description for Aloederm,1937,62
Odonil ,Address for Odonil ,Description for Odonil ,1973,27
Bajaj,Address for Bajaj,Description for Bajaj,2011,85
Mee Mee,Address for Mee Mee,Description for Mee Mee,1968,99
DP,Address for DP,Description for DP,1953,28
Tedemei,Address for Tedemei,Description for Tedemei,1993,32
NOCD,Address for NOCD,Description for NOCD,1987,69
BIOTIQUE,Address for BIOTIQUE,Description for BIOTIQUE,1914,68
Himalaya Wellness,Address for Himalaya Wellness,Description for Himalaya Wellness,1911,71
Medimix,Address for Medimix,Description for Medimix,1924,6
Mysore Sandal,Address for Mysore Sandal,Description for Mysore Sandal,1941,50
AGARO,Address for AGARO,Description for AGARO,1980,64
Kohinoor,Address for Kohinoor,Description for Kohinoor,2002,9
GoodDiet,Address for GoodDiet,Description for GoodDiet,1907,47
Khadi Natural,Address for Khadi Natural,Description for Khadi Natural,1978,5
MOM Meal of the Moment,Address for MOM Meal of the Moment,Description for MOM Meal of the Moment,1976,58
Oriental Botanics,Address for Oriental Botanics,Description for Oriental Botanics,1915,17
Bio-Oil,Address for Bio-Oil,Description for Bio-Oil,1943,85
The Baker's Dozen,Address for The Baker's Dozen,Description for The Baker's Dozen,1917,33
Classmate,Address for Classmate,Description for Classmate,1918,56
Paper Boat,Address for Paper Boat,Description for Paper Boat,1907,8
PRISTINE,Address for PRISTINE,Description for PRISTINE,1937,97
999,Address for 999,Description for 999,1987,24
Pepsodent,Address for Pepsodent,Description for Pepsodent,1939,29
Anjali,Address for Anjali,Description for Anjali,2008,94
Zoe,Address for Zoe,Description for Zoe,1942,92
Annapoorna,Address for Annapoorna,Description for Annapoorna,1919,38
Himalaya,Address for Himalaya,Description for Himalaya,1981,60
Joy,Address for Joy,Description for Joy,1960,77
United,Address for United,Description for United,1969,73
Baidyanath,Address for Baidyanath,Description for Baidyanath,1959,32
Timios,Address for Timios,Description for Timios,1980,75
On1y,Address for On1y,Description for On1y,2016,46
Asian,Address for Asian,Description for Asian,2010,83
Tasties,Address for Tasties,Description for Tasties,2001,81
Wipro,Address for Wipro,Description for Wipro,2013,15
Hello Tempayy,Address for Hello Tempayy,Description for Hello Tempayy,1952,41
Appitas,Address for Appitas,Description for Appitas,1937,61
So Sweet,Address for So Sweet,Description for So Sweet,1900,15
Parle,Address for Parle,Description for Parle,1936,65
Grb,Address for Grb,Description for Grb,1928,15
Kaya Clinic,Address for Kaya Clinic,Description for Kaya Clinic,1938,47
Olay,Address for Olay,Description for Olay,1952,99
Cocon,Address for Cocon,Description for Cocon,1902,9
Ritu,Address for Ritu,Description for Ritu,2003,77
K.P. Namboodiris,Address for K.P. Namboodiris,Description for K.P. Namboodiris,1911,53
Lakme,Address for Lakme,Description for Lakme,1936,6
Tulips,Address for Tulips,Description for Tulips,1996,17
NUTRIWISH,Address for NUTRIWISH,Description for NUTRIWISH,1946,46
Safal,Address for Safal,Description for Safal,1997,37
Aachi,Address for Aachi,Description for Aachi,1911,97
Chandrika ,Address for Chandrika ,Description for Chandrika ,1982,85
Real Thai,Address for Real Thai,Description for Real Thai,1921,12
Faultless,Address for Faultless,Description for Faultless,1933,58
United Colors Of Benetton ,Address for United Colors Of Benetton ,Description for United Colors Of Benetton ,1990,53
Origami,Address for Origami,Description for Origami,1934,81
Park avenue,Address for Park avenue,Description for Park avenue,1945,69
Garnier Men,Address for Garnier Men,Description for Garnier Men,1948,84
Good knight,Address for Good knight,Description for Good knight,1999,29
Steel Lock,Address for Steel Lock,Description for Steel Lock,1923,81
Urban Platter,Address for Urban Platter,Description for Urban Platter,1909,92
Cornitos,Address for Cornitos,Description for Cornitos,2009,39
Dr Batra's ,Address for Dr Batra's ,Description for Dr Batra's ,2021,62
Bombay Shaving Company,Address for Bombay Shaving Company,Description for Bombay Shaving Company,1979,66
Le Kaviraj,Address for Le Kaviraj,Description for Le Kaviraj,1931,82
Treo,Address for Treo,Description for Treo,2014,74
Tata Sampann,Address for Tata Sampann,Description for Tata Sampann,1915,83
Princeware,Address for Princeware,Description for Princeware,1966,5
Vlcc,Address for Vlcc,Description for Vlcc,1997,27
Sprite,Address for Sprite,Description for Sprite,1915,34
MVS,Address for MVS,Description for MVS,1932,35
Typhoo,Address for Typhoo,Description for Typhoo,1975,29
Habit,Address for Habit,Description for Habit,2001,76
MTR,Address for MTR,Description for MTR,2010,99
Saffola,Address for Saffola,Description for Saffola,1999,70
Soft Touch,Address for Soft Touch,Description for Soft Touch,1927,99
Aroma Magic ,Address for Aroma Magic ,Description for Aroma Magic ,1994,39
Frestol,Address for Frestol,Description for Frestol,1966,7
Dabur Vatika,Address for Dabur Vatika,Description for Dabur Vatika,1949,77
Neem ,Address for Neem ,Description for Neem ,2017,27
Oleiva Gold,Address for Oleiva Gold,Description for Oleiva Gold,1950,21
Schwarzkopf Professional,Address for Schwarzkopf Professional,Description for Schwarzkopf Professional,1992,51
Geo-Fresh,Address for Geo-Fresh,Description for Geo-Fresh,1964,56
Yoga bar,Address for Yoga bar,Description for Yoga bar,1935,76
Kaya Youth,Address for Kaya Youth,Description for Kaya Youth,1963,51
bb Popular,Address for bb Popular,Description for bb Popular,1902,40
Prakrta,Address for Prakrta,Description for Prakrta,1938,83
ENE,Address for ENE,Description for ENE,2014,50
